,Unnamed: 0,itinerary,ap_los,market,travel_time,fare,provider,search_date,ond,is_duplicate,price_rank_abs,time_rank_abs,price_rank,time_rank
191,1439,VA0827-VA0812,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
192,1440,VA0827-VA0814,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
193,1441,VA0827-VA0816,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
194,1442,VA0833-VA0810,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
195,1443,VA0833-VA0812,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
196,1444,VA0833-VA0814,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
197,1445,VA0819-VA0814,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
198,1446,VA0885-VA0898,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
199,1447,VA0833-VA0894,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
200,1448,VA0827-VA0806,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
201,1449,VA0837-VA0898,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
202,1450,VA0819-VA0808,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
203,1451,VA0819-VA0804,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
204,1452,VA0819-VA0800,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
205,1453,VA0807-VA0804,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
206,1454,VA0807-VA0806,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
207,1455,VA0807-VA0808,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
208,1456,VA0819-VA0812,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
209,1457,VA0845-VA0816,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
210,1458,VA0845-VA0814,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
211,1459,VA0845-VA0812,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
212,1460,VA0841-VA0894,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
213,1461,VA0841-VA0898,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
