['SCL']|['SCL']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['SCL']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['SCL']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['MIA']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['MIA']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['MIA']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['MIA']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['NYC']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['NYC']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['NYC']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['NYC']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['SYD']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['SYD']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['SYD']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['SYD']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['MAD']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['MAD']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['MAD']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['MAD']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['MEX']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['MEX']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['MEX']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['MEX']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['LON']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['LON']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['LON']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['LON']|['2020-08-15', '2020-08-29']|50|200|
['MIA']|['MVD']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['MVD']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['MVD']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['MVD']|['2020-08-15', '2020-08-29']|50|200|
['MIA']|['BUE']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['BUE']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['BUE']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['BUE']|['2020-08-15', '2020-08-29']|50|200|
