,type,name,continent,iso_country,iso_region,iata_code,coordinates
17553,large_airport,Murtala Muhammed International Airport,AF,NG,NG-LA,LOS,"6.5773701667785645, 3.321160078048706"
17554,medium_airport,Minna Airport,AF,NG,NG-NI,MXJ,"9.652170181274414, 6.462259769439697"
17556,medium_airport,Port Harcourt International Airport,AF,NG,NG-RI,PHC,"5.0154900550842285, 6.94959020614624"
17557,medium_airport,Sadiq Abubakar III International Airport,AF,NG,NG-SO,SKO,"12.916299819946289, 5.207190036773682"
17558,medium_airport,Yola Airport,AF,NG,NG-AD,YOL,"9.257550239562988, 12.430399894714355"
17559,medium_airport,Zaria Airport,AF,NG,NG-KD,ZAR,"11.1302, 7.68581"
17577,medium_airport,Maradi Airport,AF,NE,NE-4,MFQ,"13.5024995803833, 7.1267499923706055"
17578,large_airport,Diori Hamani International Airport,AF,NE,NE-8,NIM,"13.4815, 2.18361"
17580,medium_airport,Tahoua Airport,AF,NE,NE-5,THZ,"14.875699996948242, 5.265359878540039"
17582,medium_airport,Mano Dayak International Airport,AF,NE,NE-1,AJY,"16.965999603271484, 8.000109672546387"
17590,medium_airport,Zinder Airport,AF,NE,NE-7,ZND,"13.779000282287598, 8.983759880065918"
17597,medium_airport,Tabarka 7 Novembre Airport,AF,TN,TN-32,TBJ,"36.97999954223633, 8.87693977355957"
17598,medium_airport,Monastir Habib Bourguiba International Airport,AF,TN,TN-52,MIR,"35.75809860229492, 10.75469970703125"
17599,large_airport,Tunis Carthage International Airport,AF,TN,TN-11,TUN,"36.85100173950195, 10.22719955444336"
17600,medium_airport,Sidi Ahmed Air Base,AF,TN,TN-23,,"37.245398, 9.79145"
17601,medium_airport,Remada Air Base,AF,TN,TN-83,,"32.30619812011719, 10.382100105285645"
17602,medium_airport,Gafsa Ksar International Airport,AF,TN,TN-71,GAF,"34.422000885009766, 8.822500228881836"
17603,medium_airport,Gabès Matmata International Airport,AF,TN,TN-81,GAE,"33.87689971923828, 10.103300094604492"
17605,medium_airport,Djerba Zarzis International Airport,AF,TN,TN-82,DJE,"33.875, 10.775500297546387"
17606,medium_airport,El Borma Airport,AF,TN,TN-83,EBM,"31.704299926757812, 9.254619598388672"
17607,medium_airport,Sfax Thyna International Airport,AF,TN,TN-61,SFA,"34.71799850463867, 10.690999984741211"
17608,medium_airport,Tozeur Nefta International Airport,AF,TN,TN-72,TOE,"33.939701080322266, 8.110560417175293"
17617,medium_airport,Niamtougou International Airport,AF,TG,TG-K,LRL,"9.767330169677734, 1.091249942779541"
17619,medium_airport,Lomé-Tokoin Airport,AF,TG,TG-M,LFW,"6.165609836578369, 1.2545100450515747"
17649,medium_airport,Antwerp International Airport (Deurne),EU,BE,BE-VAN,ANR,"51.1893997192, 4.46027994156"
17652,medium_airport,Beauvechain Air Base,EU,BE,BE-WBR,,"50.75859832763672, 4.768330097198486"
17655,medium_airport,Kleine Brogel Air Base,EU,BE,BE-VLI,,"51.168301, 5.47"
17659,large_airport,Brussels Airport,EU,BE,BE-BRU,BRU,"50.901401519800004, 4.48443984985"
17667,large_airport,Brussels South Charleroi Airport,EU,BE,BE-WHT,CRL,"50.459202, 4.45382"
17670,medium_airport,Chièvres Air Base,EU,BE,BE-WHT,,"50.575801849365234, 3.8310000896453857"
17681,medium_airport,Koksijde Air Base,EU,BE,BE-VWV,,"51.090301513671875, 2.652780055999756"
17683,medium_airport,Florennes Air Base,EU,BE,BE-WNA,,"50.2433013916, 4.64583015442"
17700,medium_airport,Wevelgem Airport,EU,BE,BE-VWV,KJK,"50.817199707, 3.20472002029"
17706,large_airport,Liège Airport,EU,BE,BE-WLG,LGG,"50.63740158081055, 5.443220138549805"
17736,medium_airport,Ostend-Bruges International Airport,EU,BE,BE-VWV,OST,"51.198898315399994, 2.8622200489"
17814,medium_airport,Altenburg-Nobitz Airport,EU,DE,DE-TH,AOC,"50.981945, 12.506389"
17818,medium_airport,Heringsdorf Airport,EU,DE,DE-MV,HDF,"53.8787002563, 14.152299881"
