,Unnamed: 0,x
505,16790,"Shamattawa Airport,Shamattawa Airport(ZTM)"
506,16791,"Ignace Municipal Airport,Ignace Municipal Airport(ZUC)"
507,16794,"Lac Brochet Airport,Lac Brochet Airport(XLB)"
508,16795,"Wollaston Lake Airport,Wollaston Lake Airport(ZWL)"
509,16840,"Blida Airport,Blida Airport(QLD)"
510,16841,"Bou Saada Airport,Bou Saada Airport(BUJ)"
511,16842,"Soummam Airport,Soummam Airport(BJA)"
512,16844,"Houari Boumediene Airport,Houari Boumediene Airport(ALG)"
513,16845,"Djanet Inedbirene Airport,Djanet Inedbirene Airport(DJG)"
515,16849,"Illizi Takhamalt Airport,Illizi Takhamalt Airport(VVZ)"
516,16851,"Ain Arnat Airport,Ain Arnat Airport(QSF)"
517,16852,"Aguenar – Hadj Bey Akhamok Airport,Aguenar – Hadj Bey Akhamok Airport(TMR)"
