,Unnamed: 0,name,iso_country,municipality,iata_code
2188,31352,Vannes-Meucon Airport,FR,Vannes/Meucon,VNE
2189,31354,Saint-Nazaire-Montoir Airport,FR,Saint-Nazaire/Montoir,SNR
2190,31356,EuroAirport Basel-Mulhouse-Freiburg Airport,FR,Bâle/Mulhouse,BSL
2191,31358,Dijon-Bourgogne Airport,FR,Dijon/Longvic,DIJ
2192,31361,Épinal-Mirecourt Airport,FR,Épinal/Mirecourt,EPL
2193,31368,Nancy-Essey Airport,FR,Nancy/Essey,ENC
2194,31374,Strasbourg Airport,FR,Strasbourg,SXB
2195,31382,Toulon-Hyères Airport,FR,Toulon/Hyères/Le Palyvestre,TLN
2196,31389,Nîmes-Arles-Camargue Airport,FR,Nîmes/Garons,FNI
2197,31391,Miquelon Airport,PM,Miquelon,MQC
2198,31392,St Pierre Airport,PM,Saint-Pierre,FSP
2199,31417,Andravida Air Base,GR,Andravida,PYR
2200,31419,Dimokritos Airport,GR,Alexandroupolis,AXD
2201,31422,Eleftherios Venizelos International Airport,GR,Athens,ATH
2202,31424,Nea Anchialos Airport,GR,Nea Anchialos,VOL
2203,31428,Chios Island National Airport,GR,Chios Island,JKH
2204,31431,Ioannina Airport,GR,Ioannina,IOA
2205,31432,Heraklion International Nikos Kazantzakis Airport,GR,Heraklion,HER
2206,31435,Kefallinia Airport,GR,Kefallinia Island,EFL
2207,31437,Kalamata Airport,GR,Kalamata,KLX
2208,31440,Kos Airport,GR,Kos Island,KGS
2209,31441,Karpathos Airport,GR,Karpathos Island,AOK
2210,31442,Ioannis Kapodistrias International Airport,GR,Kerkyra Island,CFU
2211,31444,Alexander the Great International Airport,GR,Kavala,KVA
2212,31446,Filippos Airport,GR,Kozani,KZI
2213,31453,Mikonos Airport,GR,Mykonos Island,JMK
2214,31456,Mytilene International Airport,GR,Mytilene,MJT
2215,31461,Aktion National Airport,GR,Preveza/Lefkada,PVK
2216,31463,Diagoras Airport,GR,Rodes Island,RHO
